"ID","ID_sub","description","N_pairs","r2"
"46","46","hand_grip_strength_left_f46_0_0","74526","0.18669376344579"
"47","47","hand_grip_strength_right_f47_0_0","74531","0.180173255315111"
"48","48","waist_circumference_f48_0_0","74876","0.00180750179170676"
"49","49","hip_circumference_f49_0_0","74856","0.0348108743470357"
"50","50","standing_height_f50_0_0","74814","0.142286974202543"
"84","84","cancer_yearage_first_occurreduses","583","1.05235027470726e-05"
"93","93","systolic_blood_pressure_manual_reading_f93_0_0","2632","0.0101758462022747"
"94","94","diastolic_blood_pressure_manual_reading_f94_0_0","2632","0.00190960029174747"
"102","102","pulse_rate_automated_reading_f102_0_0","69467","0.0088333549992242"
"137","137","number_of_treatmentsmedications_taken_f137_0_0","75040","0.0338192159712057"
"189","189","townsend_deprivation_index_at_recruitment_f189_0_0","74982","0.992075039704707"
"757","757","time_employed_in_main_current_jobuses","27904","0.0161026801877543"
"767","767","length_of_working_week_for_main_jobuses","30169","0.0138743901424565"
"777","777","frequency_of_travelling_from_home_to_job_workplaceuses","29926","0.0143910927174618"
"796","796","distance_between_home_and_job_workplaceuses","22818","0.0119373707568307"
"806","806","job_involves_mainly_walking_or_standinguses","30847","0.0195139319518953"
"816","816","job_involves_heavy_manual_or_physical_workuses","30854","0.0167688354496218"
"826","826","job_involves_shift_workuses","30807","0.0154538292398484"
"845","845","age_completed_full_time_educationuses","43265","0.104211808768784"
"864","864","number_of_daysweek_walked_10_minutesuses","72445","0.0347269853164722"
"874","874","duration_of_walksuses","54712","0.0291165112809088"
"884","884","number_of_daysweek_of_moderate_physical_activity_10_minutesuses","67927","0.012173138254429"
"894","894","duration_of_moderate_activityuses","42721","0.0109943034510256"
"904","904","number_of_daysweek_of_vigorous_physical_activity_10_minutesuses","68069","0.0233684460562891"
"914","914","duration_of_vigorous_activityuses","25105","0.0134024240272726"
"924","924","usual_walking_paceuses","74273","0.0108303530062287"
"943","943","frequency_of_stair_climbing_in_last_4_weeksuses","73904","0.165161726649975"
"971","971","frequency_of_walking_for_pleasure_in_last_4_weeksuses","45087","0.172327098985107"
"981","981","duration_walking_for_pleasureuses","44959","0.221053897527029"
"991","991","frequency_of_strenuous_sports_in_last_4_weeksuses","1778","0.0481274245649677"
"1001","1001","duration_of_strenuous_sportsuses","1778","0.0759930929386261"
"1011","1011","frequency_of_light_diy_in_last_4_weeksuses","21091","0.0139960629175999"
"1021","1021","duration_of_light_diyuses","20876","0.0152840376490178"
"1050","1050","time_spend_outdoors_in_summeruses","63420","0.0438401040924409"
"1060","1060","time_spent_outdoors_in_winteruses","48247","0.0120441152332537"
"1070","1070","time_spent_watching_television_tvuses","69100","0.129794160268534"
"1080","1080","time_spent_using_computeruses","44962","0.0131932891749188"
"1090","1090","time_spent_drivinguses","32499","2.45931826962872e-06"
