"SGG_PHESANT_ID","SGG_PHESANT_ID_sub","N_pairs","r2","Neale_pheno_ID","Neale_pheno_ID_sub","Neale_file_sex","description","variable_type","SGG_request","PHESANT_processed","SGG_location","Neale_downloaded","category","define_category:T/F","v2_exists","v2_downloaded","num_IVs"
"100001","100001","8273",0.0382009637120331,"100001_irnt",100001,"both","Food weight","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100002","100002","8273",0.0224720166138208,"100002_irnt",100002,"both","Energy","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,1
"100003","100003","8273",0.0516311199059852,"100003_irnt",100003,"both","Protein","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100004","100004","8273",0.0486845069217437,"100004_irnt",100004,"both","Fat","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100005","100005","8273",0.0338852135533604,"100005_irnt",100005,"both","Carbohydrate","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100006","100006","8273",0.0537136917720385,"100006_irnt",100006,"both","Saturated fat","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100007","100007","8273",0.0701476784404814,"100007_irnt",100007,"both","Polyunsaturated fat","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100008","100008","8273",0.0416779000396904,"100008_irnt",100008,"both","Total sugars","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100009","100009","8273",0.0856566665280668,"100009_irnt",100009,"both","Englyst dietary fibre","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100011","100011","8273",0.0779098803137426,"100011_irnt",100011,"both","Iron","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,1
"100012","100012","8273",0.0756073748228374,"100012_irnt",100012,"both","Vitamin B6","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,1
"100013","100013","8273",0.141731629044711,"100013_irnt",100013,"both","Vitamin B12","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100014","100014","8273",0.0638853716846436,"100014_irnt",100014,"both","Folate","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100015","100015","8273",0.0990232277746656,"100015_irnt",100015,"both","Vitamin C","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100016","100016","8273",0.0678047096277893,"100016_irnt",100016,"both","Potassium","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100017","100017","8273",0.0493645931120464,"100017_irnt",100017,"both","Magnesium","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,1
"100018","100018","7855",0.079554126191886,"100018_irnt",100018,"both","Retinol","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100019","100019","8273",0.148885188945053,"100019_irnt",100019,"both","Carotene","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100021","100021","8273",0.113669990173458,"100021_irnt",100021,"both","Vitamin D","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,1
"100022","100022","8273",0.189160422836772,"100022",100022,"both","Alcohol","ordinal",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,3
"100023","100023","8273",0.0359739461157536,"100023_irnt",100023,"both","Starch","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,1
"100024","100024","8273",0.0514914926457806,"100024_irnt",100024,"both","Calcium","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100025","100025","8273",0.0674693833269652,"100025_irnt",100025,"both","Vitamin E","continuous_irnt",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"1001","1001","1778",0.0759930929386261,"1001",1001,"both","Duration of strenuous sports","ordinal",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle",FALSE,FALSE,NA,1
"100150","100150","8262",0.0414559145345663,"100150",100150,"both","Drinking water intake","ordinal",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,2
"100160","100160","8262",0.0385479937389291,"100160",100160,"both","Low calorie drink intake","ordinal",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,1
"100190","100190","8260",0.0743785683020107,"100190",100190,"both","Orange juice intake","ordinal",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100240","100240","8262",0.0424802874820669,"100240",100240,"both","Coffee consumed","binary",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,2
"100250","100250","8262",0.107851486017628,"100250",100250,"both","Instant coffee intake","ordinal",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,1
"100260","100260","8262",0.0761343318728399,"100260",100260,"both","Added milk to instant coffee","binary",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,0
"100270","100270","8262",0.207144117369978,"100270",100270,"both","Filtered coffee intake","ordinal",TRUE,"YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet",FALSE,FALSE,NA,2
