"SGG_PHESANT_ID","SGG_PHESANT_ID_sub","N_pairs","r2","Neale_pheno_ID","Neale_pheno_ID_sub","Neale_file_sex","description","variable_type","SGG_request","PHESANT_processed","SGG_location","Neale_downloaded","category","define_category:T/F","v2_exists","v2_downloaded","num_IVs","num_IVs_pass_het","GRS_list"
"100630","100630","8262","0.11289595303752","100630","100630","both","Rose wine intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet","FALSE","FALSE",NA,"11",9,0
"100720","100720","8259","0.119835337420376","100720","100720","both","Fortified wine intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet","FALSE","FALSE",NA,"32",27,0
"102280","102280","8262","0.0171464173844502","102280","102280","both","Milk chocolate intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet","FALSE","FALSE",NA,"8",6,0
"102290","102290","8258","0.0113552064209302","102290","102290","both","Dark chocolate intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin4/out_bin4..tsv","YES","diet","FALSE","FALSE",NA,"12",11,0
"102440","102440","8262","0.0280281830426388","102440","102440","both","Unsalted nuts intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin5/out_bin5..tsv","YES","diet","FALSE","FALSE",NA,"6",6,0
"102830","102830","8262","0.0574076236540581","102830","102830","both","Soft cheese intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin5/out_bin5..tsv","YES","diet","FALSE","FALSE",NA,"8",6,0
"102840","102840","8261","0.0337702363748744","102840","102840","both","Blue cheese intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin5/out_bin5..tsv","YES","diet","FALSE","FALSE",NA,"21",15,0
"1050","1050","63420","0.0438401040924409","1050","1050","both","Time spend outdoors in summer","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE",NA,"32",32,0
"1060","1060","48247","0.0120441152332537","1060","1060","both","Time spent outdoors in winter","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE",NA,"5",5,0
"1070","1070","69100","0.129794160268534","1070","1070","both","Time spent watching television (TV)","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE",NA,"76",76,0
"1080","1080","44962","0.0131932891749188","1080","1080","both","Time spent using computer","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE",NA,"44",44,0
